,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,Plan for your needs,,,,,
,,,,,Tier 1,Tier 2,Tier 3,Tier 4,,
,,,,,$0,$750,"$1,250",Custom Pricing,,
,,,,,,(+)one-time setup fee,(+) $250/contributor (+)one-time setup fee,,,
,,,,,,,,,,
,,,Description,Plan,Essentials,Starter,Standard,Custom,,Compare Plans
,Offer Category (internal use),,,Best for ,Exploration solo use,Early stage ,Growing operations tems of 3 +,Scaling organizations,,
,Core Tools & Documentation ,,"A global invoice generation tool that created professuinally structured invoices following international best practices, while remaining independent from any specific legal or tax jurisdiction.",Global Invoice generator ,TRUE,TRUE,TRUE,TRUE,,
,Core Tools & Documentation ,,"A budget planning tool that helps organizations allocate resources across teams projects and categories following financial best practices, with defined budget catefories and time horizons.",Budget generator,TRUE,TRUE,TRUE,TRUE,,
,Core Tools & Documentation ,,,Legal document templates,TRUE,TRUE,TRUE,TRUE,,
,Core Tools & Documentation ,,,Needs analysis,TRUE,TRUE,TRUE,TRUE,,
,Entity & Compliance Foundation ,,"Swiss Association Setup: Formation of a Swiss Association with the support of a Swiss licensed counsel. Includes use of templates for founding documents and articles of association, a workshop, and a founding meeting with counsel. ",Swiss association formation,-,TRUE,TRUE,TRUE,,
,Entity & Compliance Foundation ,,"Contract templates: Professionally drafted contract templates for contributor agreements, internal Multisig Agreements, and other operational needs.",Registered address (Zug),-,TRUE,TRUE,TRUE,,
,Entity & Compliance Foundation ,,"VAT documentation for Swiss VAT reporting, ensuring that all relevant invoices, payment records, and transaction classifications are properly maintained to support accurate VAT filings and potential audits by the Swiss Federal Tax Administration (FTA). If the entity is not registered in the Commercial registry, the VAT ID may serve as the company identification number with customers and suppliers.",VAT documentation ,-,TRUE,TRUE,TRUE,,
,Entity & Compliance Foundation ,,"Structured support for Swiss annual tax compliance and VAT reporting (by default, quarterly), handled by licensed tax professionals, coordinated through our operational framework.","Annual tax filing
+ VAT reporintg (default: quarterly)",-,TRUE,TRUE,TRUE,,
,Financial Operations & Reporting,,Expense tracking and reimbursement workflows,Reimbursement management ,-,TRUE,TRUE,TRUE,,
,Financial Operations & Reporting,,End to end handling of invoices from submission and approval to accounting and payment.,Invoice management,-,TRUE,TRUE,TRUE,,
,Financial Operations & Reporting,,"Reconciliation of transactions, validation of balances and accurate financial records in accounting system for reporting and decicion making. ",Monthly accounting & close,-,TRUE,TRUE,TRUE,,
,Financial Operations & Reporting,,"A report of all expenses incurred during the month, categorized and reviewed to provide visibility into spending and budget performance.",Monthly expense report,-,TRUE,TRUE,TRUE,,
,Financial Operations & Reporting,,Defined rules governing how expenses are submitted approved and reimbursed.,Expense Policies,-,-,TRUE,TRUE,,
,Team & Contributor Operations,,"Operational processes to onboard contributors, manage contracts and payment details.",Contributor onboarding and operations,-,-,TRUE,TRUE,,
,Team & Contributor Operations,,"Crypto-to-Fiat Conversions - 48-hour transfers in USD, GBP, EUR, CHF, DKK. Additional currencies available upon request",Multi-currency payouts,-,-,TRUE,TRUE,,
,Team & Contributor Operations,,Dedicated operational support with an assigned point of contact for handling day-to-day financial and administrative requests.,Dedicated ops support,-,-,TRUE,TRUE,,
,Advanced & Scale Features,,"Operational support across multiple legal entities, with consolidated oversight and cooditated financial workflows.",Multiple entities,-,-,-,TRUE,,
,Advanced & Scale Features,,A dedicated account manager for overseeing the relationship and coordinating ongoing requests. ,Dedicated account manager,-,-,-,TRUE,,
,Advanced & Scale Features,,"An informative admin portal providing visibility into billing, active services and key operational documents. ",Admin portal,-,-,-,TRUE,,
,Advanced & Scale Features,,Tailored operational workflows and reporting structures.,Custom workflows & reporting,-,-,-,TRUE,,
,,Add Ons,,,,,,,,
,Financial Operations & Reporting,,Processed invoice,Invoice,,21.00,,,,
,Financial Operations & Reporting,,"Centralized exchanges such as Kraken, Coinbase, Binance, Bitfinex, Crypto.com, Nexo.",Exchange Account Setup,600.00,600.00,600.00,600.00,One-time,
,Financial Operations & Reporting,,Crypto-friendly banking services serup,Crypto-Friendly Bank Setup,"1,200.00","1,200.00","1,200.00","1,200.00",One-time,
,Financial Operations & Reporting,,Offramps setup ,Payment Provider & Off-Ramp Setup,600.00,600.00,600.00,600.00,One-time,
,Financial Operations & Reporting,,Payroll setup with local Professional Employer Organization providers ,EOR / PEO Setup,600.00,600.00,600.00,600.00,One-time,
,Financial Operations & Reporting,,Setting up crypto payments for 2nd-party approval based on invoices received,Payment Controls & Reconciliation,300.00,300.00,300.00,300.00,Monthly,
,Financial Operations & Reporting,,Assitance in coordinating financial information to support external audits.,Audit Support,"1,510.00","1,510.00","1,510.00","1,510.00",Monthly,
,Team & Contributor Operations,,Additional contributor,Contributor,,,250.00,,,
,Advanced & Scale Features,,"For EORs/PEOs to maintain accounts to reduce the risk of getting offboarded
For other suppliers to maintain accounts to reduce the risk of getting offboarded",Supplier & Partner Liaison,180.00,180.00,180.00,180.00,Monthly,
,Advanced & Scale Features,,"Conduct regular checks on contractors/clients to monitor for people listed as wanted by authorities, politically exposure(PEP), sanctioned or other relevant information based on databased accessible by our AML tools.
Monitoring connected wallets using an AML tool to do risk assessment and check for connections to illegal and/or suspicious activities
Provide regular compliance reports listing results of the performed AML checks",AML Monitoring & Compliance Reporting,900.00,900.00,900.00,900.00,Monthly,
,Advanced & Scale Features,,"Assist in preparing documents needed by individuals showing income/affiliation should it be needed in order to secure visas, loans or for other purposes",Contractor Documentation Support,180.00,180.00,180.00,180.00,Per request,
,Advanced & Scale Features,,Monitor incoming invoices for compliance to make sure invoices contain everything needed to be considered compliant with local law prior to payments being made.,Invoice Compliance Review,300.00,300.00,300.00,300.00,Monthly,
,Advanced & Scale Features,,"Monitor connected accounts to make sure these are topped up
Assist with creating new cards and/or users
Monitor for dubious/restricted transactions such as cash withdrawals, crypto purchases, personal expenses etc.",Card & Spend Operations,300.00,300.00,300.00,300.00,Monthly,
,Advanced & Scale Features,,"Employ virtual assistants that can take on roles to assist with ad hoc jobs for the teams/clients.
Take care of withholding taxes, health insurance, bonuses, equipment etc.",Virtual Assistant Services,"3,010.00","3,010.00","3,010.00","3,010.00",Monthly (per VA),
,,,,,,,,,,
,Advanced & Scale Features,,Five additional hours of legal advice provided by Swiss counsel.,,,,,,,